;base;modelo;user;k;rmse
126;ratings_art;cosine;True;16;94.31261888181099
127;ratings_art;cosine;True;17;94.31261888181099
128;ratings_art;cosine;True;18;94.31261888181099
129;ratings_art;cosine;True;19;94.31261888181099
130;ratings_art;cosine;True;20;94.31261888181099
131;ratings_art;cosine;True;21;94.31261888181099
132;ratings_art;cosine;True;22;94.31261888181099
133;ratings_art;cosine;True;23;94.31261888181099
134;ratings_art;cosine;True;24;94.31261888181099
135;ratings_art;cosine;True;25;94.31261888181099
136;ratings_art;cosine;True;26;94.31261888181099
137;ratings_art;cosine;True;27;94.31261888181099
138;ratings_art;cosine;True;28;94.31261888181099
139;ratings_art;cosine;True;29;94.31261888181099
140;ratings_art;pearson;True;2;94.29756794938986
141;ratings_art;pearson;True;3;94.29756794938986
142;ratings_art;pearson;True;4;94.29756794938986
143;ratings_art;pearson;True;5;94.29756794938986
144;ratings_art;pearson;True;6;94.29756794938986
145;ratings_art;pearson;True;7;94.29756794938986
146;ratings_art;pearson;True;8;94.29756794938986
147;ratings_art;pearson;True;9;94.29756794938986
148;ratings_art;pearson;True;10;94.29756794938986
149;ratings_art;pearson;True;11;94.29756794938986
150;ratings_art;pearson;True;12;94.29756794938986
151;ratings_art;pearson;True;13;94.29756794938986
152;ratings_art;pearson;True;14;94.29756794938986
153;ratings_art;pearson;True;15;94.29756794938986
154;ratings_art;pearson;True;16;94.29756794938986
155;ratings_art;pearson;True;17;94.29756794938986
156;ratings_art;pearson;True;18;94.29756794938986
157;ratings_art;pearson;True;19;94.29756794938986
158;ratings_art;pearson;True;20;94.29756794938986
159;ratings_art;pearson;True;21;94.29756794938986
160;ratings_art;pearson;True;22;94.29756794938986
161;ratings_art;pearson;True;23;94.29756794938986
162;ratings_art;pearson;True;24;94.29756794938986
163;ratings_art;pearson;True;25;94.29756794938986
164;ratings_art;pearson;True;26;94.29756794938986
165;ratings_art;pearson;True;27;94.29756794938986
166;ratings_art;pearson;True;28;94.29756794938986
167;ratings_art;pearson;True;29;94.29756794938986
168;ratings_art;cosine;False;2;94.30658597965996
169;ratings_art;cosine;False;3;94.31261888181099
170;ratings_art;cosine;False;4;94.31261888181099
171;ratings_art;cosine;False;5;94.31261888181099
172;ratings_art;cosine;False;6;94.31261888181099
173;ratings_art;cosine;False;7;94.31261888181099
174;ratings_art;cosine;False;8;94.31261888181099
175;ratings_art;cosine;False;9;94.31261888181099
176;ratings_art;cosine;False;10;94.31261888181099
177;ratings_art;cosine;False;11;94.31261888181099
178;ratings_art;cosine;False;12;94.31261888181099
